modificado,nombre,pagina,tipo,kb,link,disponible
,"BOLIVIA: PERSONAS FALLECIDAS DE COVID-19 DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1)",Mortalidad,,,https://nimbus.ine.gob.bo/index.php/s/PFZtnMjr6iiEnYe/download,False
,BOLETÍN ESTADÍSTICO COMEX JULIO 2021,Saldo Comercial,,,https://nimbus.ine.gob.bo/index.php/s/PLX6PbczrpMqtaP/download,True
,"Documento metodológico, Revisión 2025",Población y Hechos Vitales,,,https://nimbus.ine.gob.bo/index.php/s/PaHRM4KgJXASM6n/download,True
,Sintaxis para consolidación de bases de datos trimestrales,Información técnica,,,https://nimbus.ine.gob.bo/index.php/s/Perptg9cB9mnkAD/download,True
,"BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2024",Censos de Población y Vivienda,,,https://nimbus.ine.gob.bo/index.php/s/PoxWHggpy8GbKjw/download,False
,GLOSARIO Y FICHA TÉCNICA,Censos,,,https://nimbus.ine.gob.bo/index.php/s/PsLxWnofb8Q5BNo/download,False
,"BOLIVIA: POBLACIÓN POR COMPONENTES DEL ÍNDICE DE NECESIDADES BÁSICAS INSATISFECHAS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Pobreza y Desigualdad,,,https://nimbus.ine.gob.bo/index.php/s/Q3JGEHmydCegEYm/download,False
,"BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR PROCEDENCIA DE AGUA POR CAÑERÍA DE RED, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024",Servicios Básicos,,,https://nimbus.ine.gob.bo/index.php/s/Q8pfsb4xMyjLzaj/download,False
,BOLETÍN ESTADÍSTICO ENCUESTA CONTINUA DE EMPLEO ECE 4T-2025,Boletines Estadísticos,,,https://nimbus.ine.gob.bo/index.php/s/Qc9BbmHLZLs9QMp/download,True
,Sintaxis para cálculo de estadísticas e indicadores,Información técnica,,,https://nimbus.ine.gob.bo/index.php/s/QeWixr76Rn6srQM/download,True
,MATRIZ DE PRODUCCION (EN MILES DE BOLIVIANOS DE 1990) ( 1997),Matrices de Producción,,,https://nimbus.ine.gob.bo/index.php/s/QjJ38oeaoXran8z/download,False
,BOLETÍN ESTADÍSTICO COMEX MAYO 2026,Saldo Comercial,,,https://nimbus.ine.gob.bo/index.php/s/QsjwqHcm8BJ8Rfw/download,True
,METODOLOGÍA PIB DEPARTAMENTAL,Introducción,,,https://nimbus.ine.gob.bo/index.php/s/R8PMaCiEcWeEbrf/download,False
,BOLETÍN ESTADÍSTICO ENCUESTA CONTINUA DE EMPLEO ECE 3T-2023,Boletines Estadísticos,,,https://nimbus.ine.gob.bo/index.php/s/RDgGQCZYqo7RQjK/download,True
,BOLETÍN ESTADÍSTICO PRECIOS INTERNACIONALES JULIO DE 2025,Precios Internacionales,,,https://nimbus.ine.gob.bo/index.php/s/RggFYN6NyiLDPdJ/download,True
,BOLETÍN ESTADÍSTICO COMEX ENERO A NOVIEMBRE 2018 Y 2019 CIFRAS PRELIMINARES,Saldo Comercial,,,https://nimbus.ine.gob.bo/index.php/s/RxEXGaD5pBLsei6/download,True
,"BOLIVIA: COBERTURA DE SALUD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024",Censos,,,https://nimbus.ine.gob.bo/index.php/s/Ryzppjmjk4qDPjH/download,False
,"SALARIO, REMUNERACIÓN, EMPLEO Y PROMEDIOS SALARIALES DEL SECTOR PÚBLICO 1996 -2008","Salarios, Remuneraciones y Empleo Sector Público",,,https://nimbus.ine.gob.bo/index.php/s/SPA2jJaqZCXZ68k/download,False
,MATRIZ DE PRODUCCION (EN MILES DE BOLIVIANOS DE 1990) ( 2007),Matrices de Producción,,,https://nimbus.ine.gob.bo/index.php/s/SemAit83MLdam3S/download,False
,"BOLIVIA OFERTA Y DEMANDA FINAL A PRECIOS CORRIENTES POR COMPONENTE SEGÚN TRIMESTRE, 1990 – 2024",Producto Interno Bruto Trimestral,,,https://nimbus.ine.gob.bo/index.php/s/SiQabS3MBbYkxgZ/download,False
,"BOLIVIA: NACIMIENTOS INSCRITOS EN EL REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024",Ciudadanía,,,https://nimbus.ine.gob.bo/index.php/s/SyNGxgHnWdxB8r3/download,False
,BOLETÍN ESTADÍSTICO PRECIOS INTERNACIONALES MAYO DE 2025,Precios Internacionales,,,https://nimbus.ine.gob.bo/index.php/s/T5bbPiNcKDCMF2G/download,True
,"BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Ciudadanía,,,https://nimbus.ine.gob.bo/index.php/s/TDyiQGsbqLZNyoG/download,False
,"BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2024",Autoidentificación,,,https://nimbus.ine.gob.bo/index.php/s/TMqfbQnwQ8P6pCC/download,False
,BOLETÍN ESTADÍSTICO COMEX FEBRERO 2026,Saldo Comercial,,,https://nimbus.ine.gob.bo/index.php/s/TW5tNFnrCzDxXR7/download,True
,"BOLIVIA: INDICADORES DE EMPLEO DE LA POBLACIÓN DE 14 O MÁS AÑOS DE EDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2024",Censos de Población y Vivienda,,,https://nimbus.ine.gob.bo/index.php/s/TaEJmEx7iYCgZHw/download,False
,"BOLIVIA: POBLACIÓN DE 6 O MÁS AÑOS DE EDAD POR IDIOMA EN TERCER ORDEN DE USO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Idiomas,,,https://nimbus.ine.gob.bo/index.php/s/Tie7i4reE5tCwRK/download,False
,"BOLIVIA: VIVIENDAS PARTICULARES POR CONDICIÓN DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024",Vivienda y Hogar,,,https://nimbus.ine.gob.bo/index.php/s/TkggRdLFBdgS6Nx/download,False
,"BOLIVIA: NACIMIENTOS INSCRITOS EN EL REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024",Ciudadanía,,,https://nimbus.ine.gob.bo/index.php/s/W2bLcHnE5Lm9SjQ/download,False
,MATRIZ DE PRODUCCION (EN MILES DE BOLIVIANOS DE 1990) ( 1999),Matrices de Producción,,,https://nimbus.ine.gob.bo/index.php/s/W8KBKXY7tiRR3iP/download,False
,"BOLIVIA: POBLACIÓN DE 14 O MÁS AÑOS DE EDAD, POR CONDICIÓN DE ACTIVIDAD Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2024",Censos de Población y Vivienda,,,https://nimbus.ine.gob.bo/index.php/s/WDGjEfes2Gp4fpf/download,False
,"BOLIVIA: IDIOMAS HABLADOS(1) POR LA POBLACIÓN DE 6 O MÁS AÑOS DE EDAD INDEPENDIENTEMENTE DEL ORDEN DE SU USO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2012 Y 2024",Idiomas,,,https://nimbus.ine.gob.bo/index.php/s/WXC7si7z5sWsfMf/download,False
,"BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Emigración Internacional,,,https://nimbus.ine.gob.bo/index.php/s/WgqrsGbTLSeXkPW/download,False
,BOLETÍN ESTADÍSTICO COMEX ENERO A AGOSTO 2020,Saldo Comercial,,,https://nimbus.ine.gob.bo/index.php/s/WiCfEq7XR68JQ8E/download,True
,GLOSARIO Y FICHA TÉCNICA,Censos,,,https://nimbus.ine.gob.bo/index.php/s/X44GK7GxxKeKjrJ/download,False
,"BOLIVIA: DEFLACTOR IMPLÍCITO DE LA FORMACIÓN BRUTA DE CAPITAL FIJO SEGÚN PRODUCTO, 1988 – 2024",Formación Bruta de Capital Fijo,,,https://nimbus.ine.gob.bo/index.php/s/X8w6bMX9gpabw5m/download,True
,"BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2024",Fecundidad,,,https://nimbus.ine.gob.bo/index.php/s/XDoX9eN4BQBwRiM/download,False
,"BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR CATEGORÍA OCUPACIONAL Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2024",Censos de Población y Vivienda,,,https://nimbus.ine.gob.bo/index.php/s/XF7AGafmPNmqLPA/download,False
,BOLETÍN ESTADÍSTICO ENCUESTA CONTINUA DE EMPLEO ECE 4T-2023,Boletines Estadísticos,,,https://nimbus.ine.gob.bo/index.php/s/XKSf332aRfEDE7L/download,True
